Local Date: Jan 06 2023 Local Time: 16:43:51
Build info: Sep 15 2022 15:14:37 r

WARN    16:44:21:301  11432; [VPM:Brightness] bright (221).
INFO    16:44:21:334  11432; [rp] screen cpature platformid: 1 mode: 1 type: default_window scene: 1 policy: 0
INFO    16:44:21:334  11432; reportCaptureModeEvent sendReport iret: 0
INFO    16:44:21:401  33400; AgoraRTC::videocapturemodule::VideoCaptureImpl::printFrameLog:frame count 149399,width 640,height 360,ystride:0,type:2
INFO    16:44:21:420  11432; [rs] **report stats: seq: 15620
INFO    16:44:21:420  11432; [rs] **report stats: report item map size: 1
INFO    16:44:21:420  11432; [rs] **report stats: tx bytes: 6285619
INFO    16:44:21:420  11432; [rs] **report stats: rx bytes: 749712
INFO    16:44:21:420  11432; [rs] remote server: 164.52.95.233:8130
WARN    16:44:21:577  15464; ping host 103.18.47.77
WARN    16:44:21:587  15464; ping host 192.168.10.1
